frame,x,y,w,h
009527.jpg,379,408,29,96
009528.jpg,371,412,36,94
009529.jpg,367,412,34,93
009530.jpg,364,413,34,94
009531.jpg,361,413,38,91
009532.jpg,360,412,34,93
009533.jpg,359,409,31,93
009534.jpg,354,407,33,95
009535.jpg,349,406,37,94
009536.jpg,349,404,35,91
009537.jpg,348,402,34,91
009538.jpg,346,399,36,95
009539.jpg,347,396,36,90
009540.jpg,346,396,37,90
009541.jpg,348,393,32,92
009542.jpg,348,400,36,83
009543.jpg,346,396,37,85
009544.jpg,349,396,34,86
009545.jpg,346,400,41,84
009546.jpg,347,395,39,87
009547.jpg,344,393,43,88
009548.jpg,344,394,43,84
009549.jpg,346,391,45,87
009550.jpg,345,392,44,82
009551.jpg,343,389,47,87
009552.jpg,348,389,42,80
009553.jpg,347,387,39,76
009554.jpg,346,389,42,72
009555.jpg,343,388,41,78
009556.jpg,341,388,45,77
009557.jpg,338,390,57,73
009558.jpg,342,386,50,78
009559.jpg,341,387,49,77
009560.jpg,340,387,51,80
009561.jpg,342,382,51,81
